ch1.canDo.0.ja	イベントなどに関する記事を読んで、その特色や様子が理解できる。
ch3.parts.1.points.5.practice.0.items.1.options.0	入ってくる
ch3.parts.1.points.5.practice.0.items.1.options.1	来ない
ch3.parts.1.points.5.practice.0.items.1.q	問い合わせのメールに{返信|へんしん}するそばから次のメールが（　）ので、なかなか帰れない。
ch3.parts.1.points.5.practice.0.items.2.answer	1
ch3.parts.1.points.5.practice.0.items.2.options.0	人気がある
ch3.parts.1.points.5.practice.0.items.2.options.1	売れてしまう
ch3.parts.1.points.5.practice.0.items.2.q	この商品は{入荷|にゅうか}するそばから（　）ので、常に{品薄|しなうす}だ。
ch3.parts.1.points.5.practice.0.prompt.ja	
ch3.parts.1.points.5.practice.0.type	choice
ch3.parts.1.points.5.stars	2
ch3.parts.1.points.5.usage.ja	「AそばからB」は「Aの後、すぐにBをする」と言いたいときに使われる。A・B2つの動作が何回も{反復|はんぷく}される様子を述べたり、「{頑張|がんば}ってAをしたのに、すぐにBなので、努力が{無駄|むだ}になってしまう」と言いたいときによく使われる。
ch3.parts.1.points.6.examples.0.ja	「今度こそ犯人を捕まえずにはおかないぞ」と{警部|けいぶ}は心に{誓|ちか}った。
ch3.parts.1.points.6.examples.1.ja	当時の大統領は、自分の意見に反対する者を{排除|はいじょ}せずにはおかない人間だった。
ch3.parts.1.points.6.examples.2.ja	彼の{過失|かしつ}となれば、会社は損害{賠償|ばいしょう}を{請求|せいきゅう}しないではおかないだろう。
ch3.parts.1.points.6.forms.0	[V-~~ない~~] + ずにはおかない
ch3.parts.1.points.6.forms.1	[V-~~ない~~] + ないではおかない
ch3.parts.1.points.6.no	32
ch3.parts.1.points.6.notes.0.examples.0.ja	{盲目|もうもく}のピアニストが{奏|かな}でる美しい調べは、{聴衆|ちょうしゅう}の心を{震|ふる}わせずにはおかなかった。
ch3.parts.1.points.6.notes.0.examples.1.ja	{大手|おおて}の自動車メーカーが{倒産|とうさん}するようなことがあれば、多くの{中小企業|ちゅうしょうきぎょう}の経営{危機|きき}を引き起こさずにはおかないだろう。
ch3.parts.1.points.6.notes.0.examples.2.ja	{地球外生命体|ちきゅうがいせいめいたい}の{異様|いよう}な{映像|えいぞう}は、見る人に{衝撃|しょうげき}を与えずにはおかないだろう。
ch3.parts.1.points.6.notes.0.ja	「〜ずにはおかない」は「自然に〜の感情が起こる／〜の状況になる」と言いたいときにもよく使われる。
ch3.parts.1.points.6.notes.0.stars	1
ch3.parts.1.points.6.pattern	〜ずにはおかない
ch3.parts.1.points.6.phrase	食わ**ずにはおかない**
ch3.parts.1.points.6.stars	1
ch3.parts.1.points.6.usage.ja	「〜ずにはおかない」は「〜するまであきらめない／絶対に〜する」という話し手の強い意志を表す。
ch3.parts.1.points.7.examples.0.ja	彼はアトリエにこもったが最後、{寝食|しんしょく}を忘れてしまうので家族は心配している。
ch3.parts.1.points.7.examples.1.ja	{顧客|こきゃく}からの信頼は一度失ったが最後、取り戻すことは難しいだろう。
ch3.parts.1.points.7.examples.2.ja	この本は読み始めたが最後、{徹夜|てつや}してでも{一気|いっき}に終わりまで読みたくなる{面白|おもしろ}さです。
ch3.parts.1.points.7.examples.3.ja	このボタンを押したら最後、データの{復元|ふくげん}は二度とできなくなるから、注意してね。
ch3.parts.1.points.7.formNotes.0.ja	＊話し言葉では「〜たら最後」がよく使われる。
ch3.parts.1.points.7.forms.0	[V-た] + が最後
ch3.parts.1.points.7.marks.0	regret
ch3.parts.1.points.7.no	33
ch3.parts.1.points.7.pattern	〜たが最後
ch3.parts.1.points.7.phrase	捕まっ**たが最後**
ch3.parts.1.points.7.stars	1
ch3.parts.1.points.7.usage.ja	「〜たが最後…」は「もし〜したら、必ず…になってしまう」という意味を表す。「…」には、話し手にとって望ましくない{状態|じょうたい}を表す言葉が入る。
ch3.parts.1.points.8.examples.0.ja	もう{我慢|がまん}できない。こんな会社辞めてやる。
ch3.parts.1.points.8.examples.1.ja	今度こそ、絶対頂上まで登ってやる。
ch3.parts.1.points.8.examples.2.ja	営業成績を伸ばして、来月は一番になってやる。
ch3.parts.1.points.8.examples.3.ja	あんなやつ、なぐってやる。
ch3.parts.1.points.8.forms.0	[V-て] + やる
ch3.parts.1.points.8.no	34
ch3.parts.1.points.8.pattern	〜てやる
ch3.parts.1.points.8.phrase	食っ**てやる**
ch3.parts.1.points.8.stars	1
ch3.parts.1.points.8.usage.ja	「〜てやる」は「{怒|いか}り・不満などの強い感情を持って〜する」ことを表す。
ch3.parts.1.sample.lines	あるとき、{嫁|よめ}が「お{前様|まえさま}がいるとゆっくり掃除ができません。昼間は外で遊んできてください。」と言うので、男は久しぶりに外へ出た。男が歩いていると、道の向こうから友達がやって来た。友達は男が{嫁|よめ}をもらったと聞いて、お祝い**かたがた**{嫁|よめ}の顔を見に来たのだった。うれしくなった男は、友達に{嫁|よめ}の{自慢話|じまんばなし}をした。だが、友達は{真|ま}っ{青|さお}な顔をして、「何も食べない人間がいる**とは**、信じられない。それは{化|ば}け{物|もの}だ。」と言った。そして、「明日、出かけるふりをして、こっそり様子を見てみろ。」と言い残し、逃げるように帰ってしまった。次の日、男は家を出るふりをして、家の中をのぞいてみた。笑顔だった{嫁|よめ}は、男が家を出る**なり**恐ろしい顔になった。「あのけちの{怠|なま}け{者|もの}め！　昼間っから酒は飲む**わ**、ごろごろする**わ**、外へ出すのも{一苦労|ひとくろう}だ。ああ、腹が減ったぞ。」とつぶやき、大きい{釜|かま}で米を{炊|た}き始めた。そして、結んでいた長い髪をほどいた。すると、頭の後ろから、鋭い歯が生えた大きな口が現れた。{嫁|よめ}は、米が{炊|た}ける**が早いか**どんどん{握|にぎ}り{飯|めし}を作り、作る**そばから**頭の後ろの口へ放り込み、むしゃむしゃと食べ始めた。「これでは足りぬ。肉はどこじゃ。」前の口から、恐ろしい言葉が飛び出した。びっくりした男は、つい「ひゃあ！」と悲鳴を上げてしまった。「{誰|だれ}じゃ！」長い髪の間から、ぎらぎら光る{眼|め}が男をにらみつけた。「見たな！　見られたからには、お前を食わ**ずにはおかない**ぞ！」捕まっ**たが最後**、食べられてしまうに違いない。そう思った男は、あわてて逃げ出した。「待て！　お前を食っ**てやる**！」恐ろしい顔で追いかけて来る女は、{二口女|ふたくちおんな}という{妖怪|ようかい}だったのだ。
ch3.review.0.ex.items.0.answer	3
ch3.review.0.ex.items.0.options.0	につけ／につけ
ch3.review.0.ex.items.0.options.1	にしろ／にしろ
ch3.review.0.ex.items.0.options.2	やら／やら
ch3.review.0.ex.items.0.options.3	なり／なり
ch3.review.0.ex.items.0.q	無理して{徹夜|てつや}なんてしなきゃよかった。昨日、早く寝る（　）、薬を飲む（　）しておけば治ったかもしれない。
ch3.review.0.ex.items.1.answer	2
ch3.review.0.ex.items.1.options.0	が早いか
ch3.review.0.ex.items.1.options.1	{次第|しだい}
ch3.review.0.ex.items.1.options.2	そばから
ch3.review.0.ex.items.1.options.3	なり
ch3.review.0.ex.items.1.q	計算ソフトの使い方を何度も教えているのに、{本田|ほんだ}君は聞いた（　）忘れるんだよね。
ch3.review.0.ex.items.2.answer	3
ch3.review.0.ex.items.2.options.0	どころか
ch3.review.0.ex.items.2.options.1	はおろか
ch3.review.0.ex.items.2.options.2	かたがた
ch3.review.0.ex.items.2.options.3	はもとより
ch3.review.0.ex.items.2.q	新発売のエコカーは環境への{配慮|はいりょ}（　）、価格の面でも皆様にご{納得|なっとく}いただけるものとなっております。
ch3.review.0.ex.items.3.answer	0
ch3.review.0.ex.items.3.options.0	をよそに
ch3.review.0.ex.items.3.options.1	を抜きに
ch3.review.0.ex.items.3.options.2	といえども
ch3.review.0.ex.items.3.options.3	をもって
ch3.review.0.ex.items.3.q	内容が{低俗|ていぞく}であるという多くの批判（　）、この番組は今も{高視聴率|こうしちょうりつ}を上げている。
ch3.review.0.ex.items.4.answer	1
ch3.review.0.ex.items.4.options.0	食べられるものではない
ch3.review.0.ex.items.4.options.1	食べられないでもない
ch3.review.0.ex.items.4.options.2	食べられない
ch3.review.0.ex.items.4.options.3	食べずにはおかない
ch3.review.0.ex.items.4.q	すいかの皮はたいていの人が捨ててしまうが、工夫すれば（　）。
ch3.review.0.ex.items.5.answer	0
ch3.review.0.ex.items.5.options.0	にして
ch3.review.0.ex.items.5.options.1	にもまして
ch3.review.0.ex.items.5.options.2	において
ch3.review.0.ex.items.5.options.3	に対して
ch3.review.0.ex.items.5.q	私にとって、彼は学年1位を争うライバル（　）最高の親友でもありました。
ch3.review.0.ex.items.6.answer	3
ch3.review.0.ex.items.6.options.0	とは
ch3.review.0.ex.items.6.options.1	が最後
ch3.review.0.ex.items.6.options.2	そばから
ch3.review.0.ex.items.6.options.3	が早いか
ch3.review.0.ex.items.6.q	どろぼう猫は魚屋に入った（　）、近くにあったサンマをくわえて逃げ出した。
ch3.review.0.ex.items.7.answer	3
ch3.review.0.ex.items.7.options.0	しまつ
ch3.review.0.ex.items.7.options.1	一方
ch3.review.0.ex.items.7.options.2	最中
ch3.review.0.ex.items.7.options.3	{次第|しだい}
ch3.review.0.ex.items.7.q	大変{申|もう}し{訳|わけ}ありませんが、やむを得ぬ事情により、今回は欠席させていただく（　）です。
ch3.review.0.ex.prompt.ja	次の文の（　）に入れるのに最もよいものを、1・2・3・4から一つ選びなさい。
ch3.review.0.ex.type	choice
ch3.review.0.title.ja	問題1 〈文法形式の判断〉
ch3.review.1.ex.items.0.after	だ。
ch3.review.1.ex.items.0.before	いくら{真夏|まなつ}でも、Ｔシャツ1枚で
ch3.review.1.ex.items.0.order.0	3
ch3.review.1.ex.items.0.order.1	2
ch3.review.1.ex.items.0.order.2	1
ch3.review.1.ex.items.0.order.3	0
ch3.review.1.ex.items.0.pieces.0	非常識
ch3.review.1.ex.items.0.pieces.1	とは
ch3.review.1.ex.items.0.pieces.2	登る
ch3.review.1.ex.items.0.pieces.3	{富士山|ふじさん}に
ch3.review.1.ex.items.0.star	2
ch3.review.1.ex.items.1.after	さえできないんだ。どうしよう……。
ch3.review.1.ex.items.1.before	スケートを教えてほしいって彼女に言われたんだけど、実は{俺|おれ}、
ch3.review.1.ex.items.1.order.0	1
ch3.review.1.ex.items.1.order.1	3
ch3.review.1.ex.items.1.order.2	2
ch3.review.1.ex.items.1.order.3	0
ch3.review.1.ex.items.1.pieces.0	立つこと
ch3.review.1.ex.items.1.pieces.1	{滑|すべ}ること
ch3.review.1.ex.items.1.pieces.2	氷の上に
ch3.review.1.ex.items.1.pieces.3	はおろか
ch3.review.1.ex.items.1.star	2
ch3.review.1.ex.items.2.after	あるらしいんだ。
ch3.review.1.ex.items.2.before	毎晩、{壁|かべ}の中から{奇妙|きみょう}な音がする。安いから借りたけど、
ch3.review.1.ex.items.2.order.0	1
ch3.review.1.ex.items.2.order.1	0
ch3.review.1.ex.items.2.order.2	3
ch3.review.1.ex.items.2.order.3	2
ch3.review.1.ex.items.2.pieces.0	安いのには
ch3.review.1.ex.items.2.pieces.1	この部屋が
ch3.review.1.ex.items.2.pieces.2	理由が
ch3.review.1.ex.items.2.pieces.3	それなりの
ch3.review.1.ex.items.2.star	2
ch3.review.1.ex.prompt.ja	次の文の＿★＿に入る最もよいものを、1・2・3・4から一つ選びなさい。
ch3.review.1.ex.type	order
ch3.review.1.title.ja	問題2 〈文の組み立て〉
ch3.review.2.ex.items.0.answer	0
ch3.review.2.ex.items.0.options.0	店長がアルバイト店員に
ch3.review.2.ex.items.0.options.1	客がアルバイト店員に
ch3.review.2.ex.items.0.options.2	店長が客に
ch3.review.2.ex.items.0.options.3	新人店員が{先輩|せんぱい}の店員に
ch3.review.2.ex.items.0.q	{誰|だれ}が{誰|だれ}に対して怒っているか。
ch3.review.2.ex.items.1.answer	0
ch3.review.2.ex.items.1.options.0	相手が{休憩|きゅうけい}時間が終わっても戻らなかったから
ch3.review.2.ex.items.1.options.1	相手が{休憩|きゅうけい}時間に帰宅して戻ってこなかったから
ch3.review.2.ex.items.1.options.2	相手が{携帯|けいたい}電話で話しているから
ch3.review.2.ex.items.1.options.3	相手が遅れた理由をまだ言わないから
ch3.review.2.ex.items.1.q	この人が怒っている理由は何か。
ch3.review.2.ex.prompt.ja	次の文章を読んで、後の問いに対する答えとして最もよいものを、1・2・3・4から一つ選びなさい。
ch3.review.2.ex.text.0	「おい、そこの時計見てみろ。もう5時だぞ。2時の{休憩|きゅうけい}に入るが早いか、飛び出したっきりで……。出てったが最後、3時半になっても、4時になっても帰ってこないし……。うちみたいな小さな店は、1人{欠|か}けても大変だってわかるだろ。
ch3.review.2.ex.text.1	ほら、また！　いつもお前は人が話してるそばから、ケータイいじって……。ちょっと貸してみろ！」
